                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.59418,                0.88352,                 1.0871,                0.93663,                0.85955,                 0.9421,                0.76597,                0.85585,                0.64708,                 1.2901,             0.00010882,             0.00010882,             0.00010882
                     36,                 0.6033,                0.85233,                 1.0929,                0.92291,                0.85807,                0.93505,                  0.765,                0.81837,                0.63363,                 1.2382,             0.00010223,             0.00010223,             0.00010223
                     37,                0.58665,                0.84302,                 1.0781,                0.88557,                0.87782,                0.94849,                0.77647,                 0.8219,                0.60637,                 1.2417,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                0.61517,                0.86762,                 1.0936,                0.90417,                0.84473,                0.94115,                 0.7544,                0.88283,                0.60826,                 1.3019,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 0.5969,                0.83669,                 1.0843,                0.94625,                0.83189,                0.94029,                 0.7604,                0.86843,                0.62474,                 1.2836,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                0.59053,                0.83517,                  1.078,                0.90485,                0.87293,                0.93939,                0.74246,                0.91959,                0.63433,                 1.3449,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.43507,                0.58298,                 1.0003,                0.94258,                0.87732,                0.95313,                0.77953,                0.83313,                0.57793,                 1.2604,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                 0.4279,                0.54676,                0.99702,                0.92191,                 0.8932,                0.95525,                 0.7892,                0.78022,                0.54887,                 1.2157,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                 0.4245,                0.53995,                0.99517,                0.91062,                 0.8975,                0.94784,                0.77905,                0.83227,                0.57562,                 1.2528,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.41283,                0.52012,                0.98041,                0.92444,                0.87994,                0.95158,                0.77577,                0.83659,                 0.5777,                 1.2635,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.40914,                0.51185,                0.97809,                0.93735,                0.88335,                0.94885,                0.77784,                0.82284,                0.54124,                 1.2528,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.40347,                0.50025,                0.97814,                0.91831,                0.87822,                0.94342,                 0.7925,                0.74473,                0.55843,                 1.1849,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                0.39947,                0.49158,                0.97407,                0.91682,                0.88767,                0.94256,                0.77251,                0.80943,                 0.5542,                 1.2492,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.39137,                0.48115,                0.95622,                0.92797,                0.88236,                0.94453,                0.78293,                 0.8067,                 0.5541,                 1.2458,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.38957,                0.47299,                0.95834,                0.90687,                0.88411,                0.94319,                0.77124,                 0.8194,                0.56367,                 1.2612,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.38798,                0.47287,                0.96247,                0.91791,                0.88444,                0.93758,                0.78114,                0.77196,                0.55168,                 1.2143,             9.9234e-06,             9.9234e-06,             9.9234e-06
